_id,Study,Team Member,Role,Organization
131,Stantec (2020) (ON) (Kasabonika),Wayne Penno,Senior Engineer,Stantec
132,Stantec (2020) (ON) (Kasabonika),Heather Auld,Climatologist,RSI
133,Novel Futures Corporation and RSI (2019) (MB) (Altona),Darren Swanson,Project Principal,Novel Futures
134,CBCL (2020) (PEI) (Wood Islands),NAN,NAN,UPEI Climate Research Lab
135,CBCL (2020) (PEI) (Wood Islands),NAN,NAN,Emergency Response Management Consulting (ERMC).
136,Stantec (2019) (SK) (Yellow Quill),Lalita Bharadwaj,Associate Professor,University of Saskatchewan
137,Stantec (2019) (SK) (Yellow Quill),Elmer Lickers,Senior O&M Advisor,Ontario First Nations Technical Services Corporation
138,WSP (2019) (YT) (Faro),Elise Parï¿,Project Principal / PIEVC Protocol Advisor,WSP Canada Inc.
139,WSP (2019) (YT) (Faro),Virginia Sarrazin,Project Manager,WSP Canada Inc.
140,WSP (2019) (YT) (Faro),Ena Ristic,Climate Change Scientist,WSP Canada Inc.
141,WSP (2019) (YT) (Faro),Brian Mowry,Civil and Municipal Infrastructure Specialist,WSP Canada Inc.
142,Stantec (2019) (ON) (Multi),Ed Donkersteeg,Supervisor - Standards,Hydro Ottawa
143,Stantec (2019) (ON) (Multi),Norman Shippee,Climatologist,RSI
144,Stantec (2019) (ON) (Multi),Katherine Pingree-Shippee,Climatologist,RSI
145,AECOM (2019) (ON) (Toronto),Christopher Sawicki,Vice President,PortsToronto
146,AECOM (2019) (ON) (Toronto),Eric Piitz,Port Engineer,PortsToronto
147,AECOM (2019) (ON) (Toronto),Mike Dwyer,Manager,PortsToronto
148,Stantec (2018) (ON) (Oneida),Jenelle Cornelius,Environmental Technologist,Oneida Nation of the Thames
149,Stantec (2018) (ON) (Oneida),Randy Doxtator,"Housing Advisor, Technical Services",Southern First Nations Secretariat
150,Stantec (2018) (ON) (Oneida),Heather Auld,Climatologist,RSI
151,Stantec (2018) (ON) (Moose Factory),Abel Wapachee,Director of Public Works,Moose Factory
152,Stantec (2018) (ON) (Moose Factory),Chris Seguin,"Project Officer, Mushkegowuk Council Technical Services",Mushkegowuk Council
153,RSI (2018) (ON) (Mississauga),NAN,NAN,NAN
154,Stantec (2017) (ON) (Akwesasne),Bill Maloney,Climate Change Officer,OFNTSC
155,Stantec (2017) (ON) (Akwesasne),Henry Lickers,Director Environmental Services,Mohawk Council of Akwesasne
156,Stantec (2017) (ON) (Akwesasne),Amanda Lynch,Water Resources Engineer,Stantec
157,Stantec (2017) (ON) (Akwesasne),Alexandre Mineault-Guitard,Environmental Engineering Intern,Stantec
158,CBCL (2020) (PEI) (Souris),NAN,NAN,Emergency Response Management Consulting (ERMC).
159,CBCL (2020) (QC) (Cap-aux-Meules),NAN,NAN,Emergency Response Management Consulting (ERMC).
160,CBCL (2019) (NS) (Digby),NAN,NAN,UPEI-Climate Research Lab
161,BGC (2016) (MB) (Churchill),Jack Seto,Climate Change Vulnerability Assessment,BGC
162,BGC (2016) (MB) (Churchill),Lukas Arenson,Climate Change Vulnerability Assessment,BGC
163,BGC (2016) (MB) (Churchill),Midori Telles-Langdon,Climate Change Vulnerability Assessment,BGC
164,CIMA (2020) (QC) (Shawinigan),Franï¿½ï¿½ois Ca,Architecture,CIMA+
165,CIMA (2020) (QC) (Shawinigan),Christian Gagnon,Project Coordinator,CIMA+
166,CIMA (2020) (QC) (Shawinigan),Svetlana Zdanovich,Mechanical,CIMA+
167,CIMA (2020) (QC) (Shawinigan),Steve Godin,Structure,CIMA+
168,CIMA (2020) (QC) (Laval),Louis Caron,Architecture,CIMA+
169,Stantec (2019) (QC) (Quebec City),Alain Fluet,NAN,BGIS
170,Stantec (2019) (QC) (Quebec City),Guy Fï¿½ï¿,NAN,Stantec
171,WSP (2022) (AB) (Forest Lawn),Aline Bennett,Senior Infrastructure Resilience Engineer,WSP Canada Inc.
172,WSP (2022) (AB) (Forest Lawn),Craig Dedels,Project Manager,WSP Canada Inc.
173,WSP (2022) (AB) (Forest Lawn), Jay Maloney,"Analyst, Climate Risk and Resilience",WSP Canada Inc.
174,WSP (2022) (AB) (Forest Lawn),Yann Chavaillaz,Climate Scientist,WSP Canada Inc.
175,WSP (2022) (AB) (Forest Lawn),Charles-Antoine Gosselin,Climate Change Economist,WSP Canada Inc.
176,WSP (2022) (AB) (Forest Lawn),Pippa Cookson-Hills ,CRRA Project Manager,City of Calgary
177,WSP (2022) (AB) (Forest Lawn),Julie Brache,Project Manager,City of Calgary
178,WSP (2022) (AB) (Forest Lawn),Jill Curley,Climate Adaptation Specialist,City of Calgary
179,WSP (2022) (AB) (Forest Lawn),B&A Planning Group,NAN,FOREST LAWN MULTIPLEX DESIGN
180,WSP (2022) (AB) (Forest Lawn),Kasian Architecture,NAN,FOREST LAWN MULTIPLEX DESIGN
181,Dillon (2022) (AB),Roger Rempel,Project Manager,Dillon Consulting Limited
182,Integral Group (2022) (AB),Robin Hawker,NAN,Integral Group
183,Integral Group (2022) (AB),Matt Grace,NAN,Integral Group
184,Integral Group (2022) (AB),Anika Bell,NAN,Integral Group
185,Stantec (2023) (AB) (Manchester Complex),Kimberly Stephenson,Climate Scientist,Stantec Consulting Ltd.
186,Stantec (2023) (AB) (Manchester Complex),Daniel Hegg,Senior ESG & Climate Action Advisor,Stantec Consulting Ltd.
187,Stantec (2023) (AB) (Manchester Complex),Wayne Penno,Senior Climate Risk Engineer,Stantec Consulting Ltd.
188,Stantec (2023) (AB) (Manchester Complex),Norm Shippee,Senior Climate Scientist,Stantec Consulting Ltd.
189,Stantec (2023) (AB) (Arts Center),Kimberly Stephenson,Climate Scientist,Stantec Consulting Ltd.
190,Stantec (2023) (AB) (Arts Center),Daniel Hegg,Senior ESG & Climate Action Advisor,Stantec Consulting Ltd.
191,Stantec (2023) (AB) (Arts Center),Wayne Penno,Senior Climate Risk Engineer,Stantec Consulting Ltd.
192,Stantec (2023) (AB) (Arts Center),Norm Shippee,Senior Climate Scientist,Stantec Consulting Ltd.
193,Stantec (2022) (AB),Dave Bigelow,NAN,Stantec Consulting Ltd.
194,Stantec (2022) (AB),Daniel Hegg,Senior ESG & Climate Action Advisor,Stantec Consulting Ltd.
195,Stantec (2022) (AB),Norm Shippee,Senior Climate Scientist,Stantec Consulting Ltd.
196,Stantec (2023) (AB) (Village Square),Kimberly Stephenson,Climate Scientist,Stantec Consulting Ltd.
197,Stantec (2023) (AB) (Village Square),Daniel Hegg,Senior ESG & Climate Action Advisor,Stantec Consulting Ltd.
198,Stantec (2023) (AB) (Village Square),Wayne Penno,Senior Climate Risk Engineer,Stantec Consulting Ltd.
199,Stantec (2023) (AB) (Village Square),Norm Shippee,Senior Climate Scientist,Stantec Consulting Ltd.
200,WSP (2022) (AB) (Transit),Daniel Tse,"Advisor, Climate Risk and Resilience",WSP Canada Inc.
201,WSP (2022) (AB) (Transit),Aline Bennett,Team Lead,WSP Canada Inc.
202,WSP (2022) (AB) (Transit),Rebekah Richardson-Duffy,"Analyst, Climate Risk and Resilience",WSP Canada Inc.
203,WSP (2022) (AB) (Transit),Kaitlynn Livingstone,"Advisor, Climate Risk and Resilience",WSP Canada Inc.
204,WSP (2022) (AB) (Transit),Diana Soroaga,Project Manager,WSP Canada Inc.
205,WSP (2022) (AB) (Transit),Sander Quartero,Transportation Subject Matter Expert,WSP Canada Inc.
206,WSP (2022) (AB) (Transit),Steve Gundy,Mechanical Subject Matter Expert,WSP Canada Inc.
207,WSP (2022) (AB) (Transit),Keith Rogers,Electrical Subject Matter Expert,WSP Canada Inc.
208,WSP (2022) (AB) (Transit),Saadiq Mohiuddin,Project Engineer,City of Calgary
209,WSP (2022) (AB) (Transit),Pippa Cookson-Hills,Climate Adaptation Specialist,City of Calgary
210,WSP (2021) (NB) (Saint John),Aline Bennett,Project Manager,WSP Canada Inc.
211,WSP (2021) (NB) (Saint John),Yann Chavaillaz,Climate Science Lead,WSP Canada Inc.
212,WSP (2021) (NB) (Saint John),Joshua Horst,Aviation Lead ,WSP Canada Inc.
213,WSP (2021) (NB) (Saint John),Ena Ristic,Climate Resilience Analyst,WSP Canada Inc.
214,WSP (2021) (NB) (Saint John),Mikaela Comella,Climate Resilience Support,WSP Canada Inc.
215,WSP (2021) (NB) (Saint John),Jamie Summers,Climate Science Support,WSP Canada Inc.
216,WSP (2021) (NB) (Saint John),Patricia Vieira,Aviation Specialist,WSP Canada Inc.
217,WSP (2021) (NB) (Saint John),Greg Ballentine,Aviation Specialist,WSP Canada Inc.
218,WSP (2021) (NB) (Saint John),Elise Parï¿,Civil Engineer,WSP Canada Inc.
219,WSP (2021) (NB) (Saint John),Chelsea Paton,Structural Engineer,WSP Canada Inc.
220,WSP (2021) (NB) (Saint John),Craig Harrison,Mechanical Engineer,WSP Canada Inc.
221,WSP (2021) (NB) (Saint John),Tyler Davidson,Electrical Engineer,WSP Canada Inc.
222,WSP (2021) (NB) (Saint John),Alex McGowan,Building Science Specialist,WSP Canada Inc.
223,WSP (2021) (NB) (Saint John),Jay Walmsley,Environmental Scientist,WSP Canada Inc.
224,WSP (2021) (NB) (Saint John),Janine Maurice,Aviation Specialist,WSP Canada Inc.
225,WSP (2021) (NB) (Saint John),Guy Fï¿½ï¿,Senior Technical Advisor ,WSP Canada Inc.
226,WSP (2021) (NB) (Saint John),Cindy Thorn,Director of Operations,Saint John Airport Inc.
227,WSP (2021) (NB) (Saint John),Brian Wiggins,"Director of Engineering, Facilities, and Capital Projects",Saint John Airport Inc.
228,WSP (2021) (NB) (Saint John),Andrew Hunter,Maintenance Supervisor,Saint John Airport Inc.
