_id,Study,Province,Location,Infrastructure,Infrastructure Component 1,Infrastructure Component 2,Climate Parameter,Climate Parameter General,Risk,Risk (Current),Risk (Short Term),Risk (Medium Term),Risk (Long Term)
36,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Stormwater Detention,NAN,Temperature,Temperature,NAN,NAN,NAN,NAN,NAN
37,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Stormwater Treatment,NAN,Temperature,Temperature,NAN,NAN,NAN,NAN,NAN
38,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Piping,NAN,Temperature,Temperature,NAN,NAN,NAN,NAN,NAN
39,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Piping,NAN,Temperature,Temperature,NAN,NAN,NAN,NAN,NAN
40,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Flow Control,NAN,Temperature,Temperature,NAN,NAN,NAN,NAN,NAN
41,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Flow Control,NAN,Temperature,Temperature,NAN,NAN,NAN,NAN,NAN
42,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Outfall,NAN,Temperature,Temperature,NAN,NAN,NAN,NAN,NAN
43,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Piping,NAN,Temperature,Temperature,NAN,NAN,NAN,NAN,NAN
44,Urban Systems (2019) (BC) (Vernon),British Columbia,Vernon,Stormwater,Channels,NAN,Temperature,Temperature,NAN,NAN,NAN,NAN,NAN
45,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Water System,Stormwater,Precipitation,Precipitation,High,NAN,NAN,High,NAN
46,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Roads & Assoc. Infras,Ramps/Taxiways,Precipitation,Precipitation,NAN,NAN,NAN,NAN,NAN
47,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Roads & Assoc. Infras,Runway,Precipitation,Precipitation,High,NAN,NAN,High,NAN
48,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Roads & Assoc. Infras,Ramps/Taxiways,Precipitation,Precipitation,Med,NAN,NAN,Med,NAN
49,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Distribution/Transmission,Precipitation,Precipitation,NAN,NAN,NAN,NAN,NAN
50,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Distribution/Transmission,Precipitation,Precipitation,NAN,NAN,NAN,NAN,NAN
51,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Distribution/Transmission,Precipitation,Precipitation,Med,NAN,NAN,Med,NAN
52,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Distribution/Transmission,Precipitation,Precipitation,NAN,NAN,NAN,NAN,NAN
53,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Distribution/Transmission,Precipitation,Precipitation,NAN,NAN,NAN,NAN,NAN
54,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Alaram System,Precipitation,Precipitation,NAN,NAN,NAN,NAN,NAN
55,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Equipment,Precipitation,Precipitation,NAN,NAN,NAN,NAN,NAN
56,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Equipment,Precipitation,Precipitation,NAN,NAN,NAN,NAN,NAN
57,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Electrical,Lighting,Precipitation,Precipitation,NAN,NAN,NAN,NAN,NAN
58,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Roads & Assoc. Infras,Lighting,Precipitation,Precipitation,NAN,NAN,NAN,NAN,NAN
59,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Air Distribution,Precipitation,Precipitation,Med,NAN,NAN,Med,NAN
60,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Air Distribution,Precipitation,Precipitation,Med,NAN,NAN,Med,NAN
61,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Air Distribution,Precipitation,Precipitation,Med,NAN,NAN,Med,NAN
62,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Air Distribution,Precipitation,Precipitation,NAN,NAN,NAN,NAN,NAN
63,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Air Distribution,Precipitation,Precipitation,NAN,NAN,NAN,NAN,NAN
64,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Air Distribution,Precipitation,Precipitation,NAN,NAN,NAN,NAN,NAN
65,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Heating System,Precipitation,Precipitation,High,NAN,NAN,High,NAN
66,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Fire Protection,Precipitation,Precipitation,NAN,NAN,NAN,NAN,NAN
67,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Food and Housekeeping Services,Precipitation,Precipitation,NAN,NAN,NAN,NAN,NAN
68,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,Food and Housekeeping Services,Precipitation,Precipitation,NAN,NAN,NAN,NAN,NAN
69,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,HVAC,Precipitation,Precipitation,NAN,NAN,NAN,NAN,NAN
70,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,HVAC,Precipitation,Precipitation,NAN,NAN,NAN,NAN,NAN
71,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,HVAC,Precipitation,Precipitation,NAN,NAN,NAN,NAN,NAN
72,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,HVAC,Precipitation,Precipitation,NAN,NAN,NAN,NAN,NAN
73,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,HVAC,Precipitation,Precipitation,NAN,NAN,NAN,NAN,NAN
74,Prism Engineering (2020) (BC) (Penticton),British Columbia,Penticton,Airport Infrastructure,Mechanical,HVAC,Precipitation,Precipitation,NAN,NAN,NAN,NAN,NAN
